x,t,ts
0.0,0.02,0.9889377800312702
0.010012516,0.02,0.9983766575302496
0.020025032,0.02,1.007628872650058
0.030037548,0.02,1.0166935026751005
0.040050063,0.02,1.0255703107628693
0.05006258,0.02,1.0342597081708782
0.060075097,0.02,1.0427627028745634
0.07008761,0.02,1.0510808580133484
0.08010013,0.02,1.0592162604896298
0.09011264,0.02,1.0671714401398362
0.10012516,0.02,1.0749493763014402
0.11013767,0.02,1.0825533910741088
0.12015019,0.02,1.0899871662715506
0.1301627,0.02,1.097254638208325
0.14017522,0.02,1.1043600137156695
0.15018773,0.02,1.111307669938813
0.16020025,0.02,1.1181021704988254
0.17021278,0.02,1.124748184105856
0.18022528,0.02,1.1312504359972173
0.1902378,0.02,1.1376137570192808
0.20025031,0.02,1.1438429393445209
0.21026284,0.02,1.1499427945306757
0.22027534,0.02,1.1559180371683166
0.23028786,0.02,1.1617733658251603
0.24030039,0.02,1.1675133398787303
0.2503129,0.02,1.1731423803337402
0.26032543,0.02,1.178664796462189
0.27033794,0.02,1.1840846794590036
0.28035045,0.02,1.1894059590761623
0.29036295,0.02,1.194632334015355
0.3003755,0.02,1.199767304969395
0.310388,0.02,1.2048140381876766
0.3204005,0.02,1.2097755069213454
0.330413,0.02,1.2146543712647975
0.34042555,0.02,1.2194530111685953
0.35043806,0.02,1.2241734195168554
0.36045057,0.02,1.2288173159971367
0.37046307,0.02,1.2333860453616736
0.3804756,0.02,1.2378806089257408
0.39048812,0.02,1.242301591290262
0.40050063,0.02,1.246649200841263
0.41051313,0.02,1.2509232376934802
0.42052567,0.02,1.255123101314936
0.43053818,0.02,1.2592477066472456
0.44055068,0.02,1.2632955608062706
0.4505632,0.02,1.2672647170541926
0.46057573,0.02,1.271152744878015
0.47058824,0.02,1.274956729966948
0.48060077,0.02,1.2786733003099988
0.49061328,0.02,1.2822985632264445
0.5006258,0.02,1.2858281569588963
0.5106383,0.02,1.2892572014410622
0.52065086,0.02,1.2925803576609662
0.5306634,0.02,1.295791740502971
0.5406759,0.02,1.2988850023451992
0.5506884,0.02,1.3018533419067846
0.5607009,0.02,1.3046894898522043
0.5707134,0.02,1.307385744655869
0.5807259,0.02,1.3099340017128653
0.5907384,0.02,1.3123257893915592
0.600751,0.02,1.3145523340077385
0.6107635,0.02,1.3166045241679407
0.620776,0.02,1.3184731044833549
0.6307885,0.02,1.3201486538060252
0.640801,0.02,1.321621686161407
0.6508135,0.02,1.3228827374468355
0.660826,0.02,1.3239224606751767
0.67083853,0.02,1.324731731283578
0.6808511,0.02,1.3253017516608925
0.6908636,0.02,1.3256241679392584
0.7008761,0.02,1.3256912047283862
0.7108886,0.02,1.3254957743744615
0.72090113,0.02,1.3250316052484012
0.73091364,0.02,1.3242933714312666
0.74092615,0.02,1.3232768072592165
0.75093865,0.02,1.3219788269217783
0.7609512,0.02,1.3203976180059003
0.7709637,0.02,1.3185327733181895
0.78097624,0.02,1.3163853157825494
0.79098874,0.02,1.3139578307100903
0.80100125,0.02,1.311254453271005
0.81101376,0.02,1.3082809392574144
0.82102627,0.02,1.3050446585086126
0.8310388,0.02,1.3015545772015464
0.84105134,0.02,1.2978212398775313
0.85106385,0.02,1.293856716261508
0.86107635,0.02,1.289674487605206
0.87108886,0.02,1.2852893686654887
0.88110137,0.02,1.2807174048663754
0.8911139,0.02,1.27597571241965
0.9011264,0.02,1.271082377587215
0.9111389,0.02,1.2660562256162833
0.92115146,0.02,1.2609166733426533
0.93116397,0.02,1.2556836600473564
0.9411765,0.02,1.2503772911658197
0.951189,0.02,1.2450178175566597
0.96120155,0.02,1.2396253309921015
0.97121406,0.02,1.234219758638003
0.98122656,0.02,1.228820549425438
0.9912391,0.02,1.223446580867782
1.0012516,0.02,1.2181161050139588
1.0112641,0.02,1.2128464934170795
1.0212766,0.02,1.207654217368753
1.0312891,0.02,1.2025547360683209
1.0413016,0.02,1.1975624221422843
1.0513141,0.02,1.192690502937268
1.0613266,0.02,1.187951017241577
1.0713391,0.02,1.1833547868293353
1.0813516,0.02,1.1789114020016596
1.0913641,0.02,1.174629220123491
1.1013767,0.02,1.1705153357958906
1.1113892,0.02,1.1665757645583459
1.1214018,0.02,1.162815190015663
1.1314143,0.02,1.159237316836606
1.1414268,0.02,1.1558446486309213
1.1514393,0.02,1.15263869076499
1.1614518,0.02,1.149619966980544
1.1714643,0.02,1.1467880776916974
1.1814768,0.02,1.144141760472672
1.1914895,0.02,1.1416789044235929
1.2015018,0.02,1.1393968492359454
1.2115144,0.02,1.1372919531082544
1.2215269,0.02,1.1353602097664628
1.2315394,0.02,1.1335969449341778
1.2415519,0.02,1.1319970070466925
1.2515644,0.02,1.1305548005892874
1.2615769,0.02,1.1292643387798775
1.2715895,0.02,1.128119282757552
1.281602,0.02,1.1271130328794043
1.2916145,0.02,1.1262387042345685
1.301627,0.02,1.1254892147783113
1.3116395,0.02,1.1248573111845097
1.321652,0.02,1.1243356038881642
1.3316646,0.02,1.1239165955470818
1.3416771,0.02,1.123592726119969
1.3516896,0.02,1.1233563745900648
1.3617022,0.02,1.1231998996512056
1.3717147,0.02,1.1231156622899374
1.3817272,0.02,1.12309603613552
1.3917397,0.02,1.1231334319788804
1.4017522,0.02,1.1232203114937276
1.4117647,0.02,1.1233492011809736
1.4217772,0.02,1.123512704749059
1.4317899,0.02,1.1237035181237647
1.4418023,0.02,1.1239144211716023
1.4518148,0.02,1.124138318035101
1.4618273,0.02,1.124368217164071
1.4718398,0.02,1.1245972499978212
1.4818523,0.02,1.1248186750473101
1.4918648,0.02,1.1250258834003493
1.5018773,0.02,1.1252124037391757
1.5118899,0.02,1.1253719084062732
1.5219024,0.02,1.1254982116218066
1.531915,0.02,1.1255852838991085
1.5419275,0.02,1.125627246198663
1.55194,0.02,1.1256183808542843
1.5619525,0.02,1.1255531314880365
1.571965,0.02,1.1254261079603354
1.5819775,0.02,1.1252320903035873
1.59199,0.02,1.1249660327460818
1.6020025,0.02,1.1246230678500468
1.612015,0.02,1.1241985107804897
1.6220275,0.02,1.123687863714565
1.63204,0.02,1.1230868203947184
1.6420525,0.02,1.1223912708225063
1.652065,0.02,1.1215973060841788
1.6620775,0.02,1.120701223293562
1.67209,0.02,1.1196995306326338
1.6821027,0.02,1.118588929173393
1.6921152,0.02,1.1173664089396407
1.7021277,0.02,1.116029121065994
1.7121402,0.02,1.1145744694305555
1.7221527,0.02,1.1130000946522067
1.7321652,0.02,1.1113038790685732
1.7421777,0.02,1.1094839515650072
1.7521904,0.02,1.1075386520910522
1.7622027,0.02,1.1054667366430806
1.7722152,0.02,1.1032669801895
1.7822278,0.02,1.100938557718333
1.7922403,0.02,1.0984809413372008
1.8022528,0.02,1.095893803824272
1.8122653,0.02,1.0931771128329828
1.8222778,0.02,1.0903311102398843
1.8322904,0.02,1.087356283191644
1.8423029,0.02,1.0842534850372332
1.8523154,0.02,1.0810237572153054
1.8623279,0.02,1.07766844631568
1.8723404,0.02,1.0741891738119496
1.882353,0.02,1.0705877975719087
1.8923655,0.02,1.0668665542975269
1.902378,0.02,1.0630278402686875
1.9123905,0.02,1.0590743498430426
1.9224031,0.02,1.0550089939951313
1.9324156,0.02,1.0508350581315302
1.9424281,0.02,1.046555951945559
1.9524406,0.02,1.0421753635088955
1.9624531,0.02,1.0376972112475928
1.9724656,0.02,1.0331256352500713
1.9824781,0.02,1.0284649878838852
1.9924908,0.02,1.0237197281542507
2.0025032,0.02,1.018894840451565
2.0125158,0.02,1.013995011588163
2.0225282,0.02,1.0090255322344996
2.0325408,0.02,1.0039914551330718
2.0425532,0.02,0.9988983759963317
2.0525658,0.02,0.9937516164292396
2.0625782,0.02,0.9885570238135437
2.0725908,0.02,0.983320135615748
2.0826032,0.02,0.9780469949526936
2.0926158,0.02,0.9727433001070456
2.1026282,0.02,0.96741523233438
2.1126409,0.02,0.9620685410612717
2.1226532,0.02,0.9567096477431823
2.1326659,0.02,0.9513441894045767
2.1426783,0.02,0.9459786093430226
2.152691,0.02,0.9406186437754425
2.1627035,0.02,0.9352705933789922
2.1727161,0.02,0.9299402923925233
2.1827285,0.02,0.9246338429844453
2.1927412,0.02,0.9193568587107913
2.2027535,0.02,0.9141155084394375
2.2127662,0.02,0.9089150842568477
2.2227786,0.02,0.9037615593274935
2.2327912,0.02,0.8986601715537262
2.2428036,0.02,0.8936164963793823
2.2528162,0.02,0.8886355694361973
2.2628286,0.02,0.8837226820425039
2.2728412,0.02,0.8788825762499963
2.2828536,0.02,0.8741202205219393
2.2928662,0.02,0.8694400283286458
2.3028786,0.02,0.8648466108960143
2.3128912,0.02,0.8603440224320353
2.3229036,0.02,0.8559364870344616
2.3329163,0.02,0.8516276308651125
2.3429286,0.02,0.8474213931675482
2.3529413,0.02,0.8433208673419423
2.3629537,0.02,0.8393295563833448
2.3729663,0.02,0.8354502556370437
2.3829787,0.02,0.831685894462107
2.3929913,0.02,0.828038872350021
2.4030037,0.02,0.8245116580594881
2.4130163,0.02,0.8211062054273701
2.4230287,0.02,0.8178245157721274
2.4330413,0.02,0.8146680933799089
2.4430537,0.02,0.8116384698222512
2.4530663,0.02,0.8087367002909912
2.4630787,0.02,0.8059638487639023
2.4730914,0.02,0.8033205003122981
2.483104,0.02,0.8008072617400035
2.4931166,0.02,0.7984243817408269
2.503129,0.02,0.7961719613882151
2.5131416,0.02,0.7940497534412686
2.523154,0.02,0.7920574749989945
2.5331666,0.02,0.790194473012301
2.543179,0.02,0.7884600478361444
2.5531917,0.02,0.7868531456066046
2.563204,0.02,0.7853727185646427
2.5732167,0.02,0.7840173074967215
2.583229,0.02,0.782785503956305
2.5932417,0.02,0.7816755239414847
2.603254,0.02,0.7806856093812974
2.6132667,0.02,0.7798136808408139
2.623279,0.02,0.7790576623561288
2.6332917,0.02,0.778415210709148
2.643304,0.02,0.777883966049817
2.6533167,0.02,0.7774613548919883
2.6633291,0.02,0.7771447666719541
2.6733418,0.02,0.7769314388543134
2.6833541,0.02,0.7768185488809438
2.6933668,0.02,0.7768031684005342
2.7033792,0.02,0.7768823067627021
2.7133918,0.02,0.7770529085989949
2.7234044,0.02,0.7773118599685568
2.733417,0.02,0.777656001471896
2.7434294,0.02,0.7780821274559381
2.753442,0.02,0.7785870307598944
2.7634544,0.02,0.7791674481283752
2.773467,0.02,0.7798201493314824
2.7834795,0.02,0.7805418608029808
2.793492,0.02,0.7813293402538105
2.8035045,0.02,0.7821793539390676
2.813517,0.02,0.7830886906414406
2.8235295,0.02,0.7840541692085973
2.833542,0.02,0.785072645790338
2.8435545,0.02,0.7861410207600197
2.8535671,0.02,0.7872562566691425
2.8635795,0.02,0.7884153276876157
2.8735921,0.02,0.7896153513080528
2.8836045,0.02,0.790853419367573
2.8936172,0.02,0.7921268076095815
2.9036295,0.02,0.7934327184886794
2.9136422,0.02,0.7947686311805177
2.9236546,0.02,0.7961319146965712
2.9336672,0.02,0.7975201893507867
2.9436796,0.02,0.7989310464980458
2.9536922,0.02,0.8003622863485288
2.9637046,0.02,0.8018116953611379
2.9737172,0.02,0.8032772770492567
2.9837296,0.02,0.8047570225149481
2.9937422,0.02,0.8062491461001379
3.0037546,0.02,0.8077518504119057
3.0137672,0.02,0.8092635656149002
